ICAO;Type;ICAO-Type;W;C;AWC;Model
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
CP13;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
CP20;Fixed-wing;1P/S;Light;F;I;4
CP21;Fixed-wing;1P/S;Light;F;I;
;;;;;;
CP22;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
CP23;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
CP30;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
CP32;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
CP60;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
CP65;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
CP75;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
CP80;Fixed-wing;1P/S;Light;F;I;
;;;;;;
CP90;Fixed-wing;1P/S;Light;F;I;
CPNA;Fixed-wing;1P/S;Light;F;I;
CPUP;Fixed-wing;1P/S;Light;F;I;
;;;;;;
CR10;Fixed-wing;1P/S;Light;F;I;
;;;;;;
CRA1;Fixed-wing;1P/S;Light;F;I;
CRAC;Fixed-wing;1P/S;Light;F;I;
CRER;Fixed-wing;1P/S;Light;F;I;
CRES;Fixed-wing;1T/S;Light;F;I;
CRIO;@Fixed-wing;1P/S;Light;F;I;
;;;;;;
CRJ1;Fixed-wing;2J/L;Medium;E;III;7
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
CRJ2;Fixed-wing;2J/L;Medium;E;III;7
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
CRJ7;Fixed-wing;2J/L;Medium;E;III;7
;;;;;;
;;;;;;
;;;;;;
;;;;;;
CRJ9;Fixed-wing;2J/L;Medium;E;III;8
;;;;;;
;;;;;;
CRJX;Fixed-wing;2J/L;Medium;E;III;
;;;;;;
CRUZ;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
CT4;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
CTAH;Fixed-wing;1P/S;Light;F;I;
CTLN;@Fixed-wing;1P/S;Light;F;I;
CUB2;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
CUCA;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
CULP;Fixed-wing;1P/S;Light;F;I;
CULV;Fixed-wing;1P/S;Light;F;I;
CULX;Fixed-wing;2P/S;Light;F;II;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
CVLP;Fixed-wing;2P/L;Medium;D;III;7
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
CVLT;Fixed-wing;2T/L;Medium;D;III;7
;;;;;;
;;;;;;
;;;;;;
;;;;;;
CX5;Fixed-wing;1P/S;Light;F;I;
CYCL;Fixed-wing;1P/S;Light;F;I;
CYGT;Fixed-wing;1P/S;Light;F;I;
;;;;;;
D1;Fixed-wing;2P/S;Light;F;II;
;;;;;;
;;;;;;AERO-DIFUSION, Compostela
;;;;;;AERO-DIFUSION, D-112 Popuplane
;;;;;;AERO-DIFUSION, D-119 Popuplane
;;;;;;AERO-DIFUSION, D-1190S Compostela
;;;;;;AERO-DIFUSION, Popuplane
;;;;;;AERO-JODEL, D-11
;;;;;;ALPAVIA, D-117
;;;;;;DENIZE, D-112
;;;;;;DESJARDINS, D-01 Ibis
;;;;;;DESJARDINS, Ibis
;;;;;;EAC, D-127
;;;;;;EAC, D-128
;;;;;;FALCONAR, Cruiser
;;;;;;FALCONAR, F-11
;;;;;;FALCONAR, F-11 Sporty
;;;;;;FALCONAR, F-12 Cruiser
;;;;;;FALCONAR, Sporty
;;;;;;JODEL, D-11
;;;;;;JODEL, D-111
;;;;;;JODEL, D-112
;;;;;;JODEL, D-113
;;;;;;JODEL, D-114
D11;Fixed-wing;1P/S;Light;F;I;JODEL, D-115
;;;;;;JODEL, D-116
;;;;;;JODEL, D-117
;;;;;;JODEL, D-118
;;;;;;JODEL, D-119
;;;;;;JODEL, D-120
;;;;;;JODEL, D-121
;;;;;;JODEL, D-122
;;;;;;JODEL, D-123
;;;;;;JODEL, D-124
;;;;;;JODEL, D-125
;;;;;;JODEL, D-126
;;;;;;JODEL, D-127
;;;;;;JODEL, D-128
;;;;;;RENARD, D-112
;;;;;;SAN, D-112
;;;;;;SAN, D-117
;;;;;;UETZ, U-2V
;;;;;;VALLADEAU, D-112
;;;;;;VALLADEAU, D-119
;;;;;;WASSMER, D-112
;;;;;;WASSMER, D-120 Paris-Nice
;;;;;;WASSMER, Paris-Nice
;;;;;;DORNA, Blue Bird
;;;;;;DORNA, D-139 Blue Bird
;;;;;;DORNA, D-139 Free Bird
D139;Fixed-wing;1P/S;Light;F;I;DORNA, D-139 Parandeh Abi  DORNA, D-139 Parandeh Sefid
;;;;;;DORNA, Free Bird
;;;;;;DORNA, Parandeh Abi
;;;;;;DORNA, Parandeh Sefid
;;;;;;JODEL, Abeille
;;;;;;JODEL, D-140 Abeille
;;;;;;JODEL, D-140 Mousquetaire
;;;;;;JODEL, Mousquetaire
D140;Fixed-wing;1P/S;Light;F;I;MUDRY, D-140 Mousquetaire MUDRY, Mousquetaire
;;;;;;SAN, Abeille
;;;;;;SAN, D-140 Abeille
;;;;;;SAN, D-140 Mousquetaire
;;;;;;SAN, Mousquetaire
;;;;;;
D150;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
D18;Fixed-wing;1P/S;Light;F;I;
;;;;;;
D201;Fixed-wing;1P/S;Light;F;I;
;;;;;;
D228;Fixed-wing;2T/S+;Light;F;III;2
;;;;;;
D25;Fixed-wing;1P/S;Light;F;I;
;;;;;;
D250;Fixed-wing;1P/S;Light;F;I;
;;;;;;
D253;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
D28D;Fixed-wing;2P/S;Light;F;II;1
;;;;;;
;;;;;;
;;;;;;
D28T;Fixed-wing;2T/S;Light;F;II;1
;;;;;;
;;;;;;
;;;;;;
D31;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
D328;Fixed-wing;2T/S+;Medium;F;III;7
;;;;;;
D39;Fixed-wing;1P/S;Light;F;I;
D4;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
D5;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
D5TU;Fixed-wing;1P/S;Light;F;I;
D6;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
D6CR;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
D7;Fixed-wing;1P/S;Light;F;I;
D8;Fixed-wing;1P/S;Light;F;I;
DA2;Fixed-wing;1P/S;Light;F;I;
DA36;Fixed-wing;1E/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
DA40;Fixed-wing;1P/S;Light;F;I;4
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
DA42;Fixed-wing;2P/S;Light;F;II;4
;;;;;;
;;;;;;
DA5;Fixed-wing;1P/S;Light;F;I;
;;;;;;
DA50;Fixed-wing;1P/S;Light;F;I;
;;;;;;
DA62;Fixed-wing;2P/S;Light;F;II;
DAHU;Fixed-wing;1P/S;Light;F;I;
DAKH;Fixed-wing;1P/S;Light;F;I;
DAL1;Fixed-wing;1P/S;Light;F;I;
;;;;;;
DAL4;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
DAL5;Fixed-wing;1P/S;Light;F;I;
;;;;;;
DART;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
DC10;Fixed-wing;3J/H;Heavy;C;III;9
;;;;;;
;;;;;;
DC2;Fixed-wing;2P/S+;Medium;F;III;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
DC3;Fixed-wing;2P/S+;Medium;F;III;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
DC3S;Fixed-wing;2P/S+;Medium;F;III;8
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
DC3T;Fixed-wing;2T/S+;Medium;F;III;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
DC4;Fixed-wing;4P/L;Medium;D;III;7
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
DC6;Fixed-wing;4P/L;Medium;D;III;7
;;;;;;
;;;;;;
;;;;;;
DC7;Fixed-wing;4P/L;Medium;D;III;8
;;;;;;
;;;;;;
;;;;;;
DC85;Fixed-wing;4J/H;Heavy;C;III;9
;;;;;;
;;;;;;
DC86;Fixed-wing;4J/H;Heavy;C;III;
DC87;Fixed-wing;4J/H;Heavy;C;III;9
DC91;Fixed-wing;2J/L;Medium;E;III;8
DC92;Fixed-wing;2J/L;Medium;D;III;8
;;;;;;
;;;;;;
;;;;;;
DC93;Fixed-wing;2J/L;Medium;D;III;8
;;;;;;
;;;;;;
;;;;;;
DC94;Fixed-wing;2J/L;Medium;D;III;8
DC95;Fixed-wing;2J/L;Medium;D;III;8
DEAG;Gyrocopter;1P/S;Light;F;I;
DEFI;Fixed-wing;2P/S;Light;F;II;
DELF;Fixed-wing;1P/S;Light;F;I;
DFL6;Fixed-wing;1P/S;Light;F;I;
DFLY;Fixed-wing;1P/S;Light;F;I;
;;;;;;
DG15;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
DG1T;Fixed-wing;1P/S;Light;F;I;
;;;;;;
DG40;Fixed-wing;1P/S;Light;F;I;
DG50;Fixed-wing;1P/S;Light;F;I;
DG60;Fixed-wing;1P/S;Light;F;I;
DG80;Fixed-wing;1P/S;Light;F;I;
DH2T;Fixed-wing;1T/S;Light;F;I;2
;;;;;;
DH3T;Fixed-wing;1T/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
DH60;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
DH80;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
DH82;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
DH83;Fixed-wing;1P/S;Light;F;I;
DH85;Fixed-wing;1P/S;Light;F;I;
DH87;Fixed-wing;1P/S;Light;F;I;
DH88;Fixed-wing;2P/S;Light;F;II;
DH89;Fixed-wing;2P/S;Light;F;II;
;;;;;;
;;;;;;
DH8A;Fixed-wing;2T/L;Medium;E;III;4
;;;;;;
;;;;;;
DH8B;Fixed-wing;2T/L;Medium;E;III;4
DH8C;Fixed-wing;2T/L;Medium;E;III;5
DH8D;Fixed-wing;2T/L;Medium;D;III;6
DH90;Fixed-wing;2P/S;Light;F;II;
DH94;Fixed-wing;1P/S;Light;F;I;
DHA3;Fixed-wing;3P/S;Light;F;III;
;;;;;;
;;;;;;
DHC1;Fixed-wing;1P/S;Light;F;I;1
;;;;;;
;;;;;;
;;;;;;
;;;;;;
DHC2;Fixed-wing;1P/S;Light;F;I;2
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
DHC3;Fixed-wing;1P/S;Light;F;I;1
;;;;;;
;;;;;;
;;;;;;
;;;;;;
DHC4;Fixed-wing;2P/S+;Medium;F;III;5
;;;;;;
;;;;;;
;;;;;;
DHC5;Fixed-wing;2T/L;Medium;D;III;1
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
DHC6;Fixed-wing;2T/S;Light;F;II;4
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
DHC7;Fixed-wing;4T/L;Medium;D;III;2
;;;;;;
;;;;;;
DIES;Fixed-wing;1P/S;Light;F;I;
DIJ3;Fixed-wing;1P/S;Light;F;I;
DIJ4;@Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
DIMO;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
DINO;Fixed-wing;1P/S;Light;F;I;
DIPR;@Fixed-wing;1P/S;Light;F;I;
;;;;;;
DISC;Fixed-wing;1P/S;Light;F;I;
;;;;;;
DJET;Fixed-wing;1J/S;Light;F;III;
;;;;;;
DJIN;Helicopter;1T/S;Light;F;I;
;;;;;;
DLH2;Fixed-wing;1E/S;Light;F;I;
DLTA;Fixed-wing;1P/S;Light;F;I;
DNGO;@Fixed-wing;1T/S;Light;F;I;
;;;;;;
DO27;Fixed-wing;1P/S;Light;F;I;1
;;;;;;
;;;;;;
DO28;Fixed-wing;2P/S;Light;F;II;
;;;;;;
DOCX;Fixed-wing;1P/S;Light;F;I;
DON;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
DOVE;Fixed-wing;2P/S;Light;F;II;4
;;;;;;
;;;;;;
;;;;;;
;;;;;;
DR1;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
DR10;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
DR22;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
DR30;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;ROBIN, 2+2 (DR-400)
;;;;;;ROBIN, Cadet
;;;;;;ROBIN, Chevalier (DR-400)
;;;;;;ROBIN, Dauphin 2+2
;;;;;;ROBIN, Dauphin 4
;;;;;;ROBIN, Dauphin 80
;;;;;;ROBIN, DR-400 2+2
;;;;;;ROBIN, DR-400 Cadet
;;;;;;ROBIN, DR-400 Chevalier
;;;;;;ROBIN, DR-400 Dauphin 2+2
;;;;;;ROBIN, DR-400 Dauphin 4
;;;;;;ROBIN, DR-400 Dauphin 80
;;;;;;ROBIN, DR-400 Earl
;;;;;;ROBIN, DR-400 Ecoflyer
;;;;;;ROBIN, DR-400 Major
;;;;;;ROBIN, DR-400 Major 80
DR40;Fixed-wing;1P/S;Light;F;I;ROBIN, DR-400 Petit Prince ROBIN, DR-400 Regent
;;;;;;ROBIN, DR-400 Remo 180
;;;;;;ROBIN, DR-400 Remo 200
;;;;;;ROBIN, DR-400 Remo 212
;;;;;;ROBIN, DR-400 Remorqueur
;;;;;;ROBIN, DR-500 President
;;;;;;ROBIN, Earl
;;;;;;ROBIN, Ecoflyer
;;;;;;ROBIN, Major (DR-400)
;;;;;;ROBIN, Major 80
;;;;;;ROBIN, Petit Prince (DR-400)
;;;;;;ROBIN, President (DR-500)
;;;;;;ROBIN, Regent
;;;;;;ROBIN, Remo 180
;;;;;;ROBIN, Remo 200
;;;;;;ROBIN, Remo 212
;;;;;;ROBIN, Remorqueur
;;;;;;CRAE, Dragon Fly
DRAG;Helicopter;1P/S;Light;F;I;DF HELICOPTERS, Dragon
;;;;;;DRAGON FLY, Dragon Fly
DRIF;Fixed-wing;1P/S;Light;F;I;AUSTFLIGHT, Drifter
;;;;;;APPLEGATE & WEYANT, Dart GC
;;;;;;CULVER, Dart G
;;;;;;CULVER, Dart GK
DRTG;Fixed-wing;1P/S;Light;F;I;CULVER, Dart GW
;;;;;;DART, G
;;;;;;DART, GK
;;;;;;DART, GW
DSA1;Fixed-wing;1P/S;Light;F;I;SMITH (1), DSA-1 Miniplane SMITH (1), Miniplane
;;;;;;KILLINGSWORTH, DSK-1 Hawk
DSK;Fixed-wing;1P/S;Light;F;I;KILLINGSWORTH, DSK-2 Golden Hawk KILLINGSWORTH, Golden Hawk
;;;;;;KILLINGSWORTH, Hawk
DSLK;Fixed-wing;1P/S;Light;F;I;DRIGGS, Skylark
DT45;Fixed-wing;1T/S;Light;F;I;DIAMOND, Dart-450
;;;;;;DUBNA, 2 Osa
DUB2;Fixed-wing;1P/S;Light;F;I;DUBNA, Osa TAIFUN, DMZ-2 Osa
;;;;;;TAIFUN, Osa
DUCE;Fixed-wing;1P/S;Light;F;I;BAKENG, Duce
;;;;;;SCHEMPP-HIRTH, Duo Discus T
DUOD;Fixed-wing;1P/S;Light;F;I;SCHEMPP-HIRTH, Duo Discus XLT
;;;;;;SCHEMPP-HIRTH, Duo Discus XT
DUR5;Fixed-wing;1P/S;Light;F;I;DURAND, Mk5
;;;;;;
DV1;Fixed-wing;1P/S;Light;F;I;
;;;;;;
DV2;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
DV20;Fixed-wing;1P/S;Light;F;I;2
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
DW1;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
DWD2;Fixed-wing;1P/S;Light;F;I;
;;;;;;
DYH2;Helicopter;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
E110;Fixed-wing;2T/S+;Light;F;III;7
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
E120;Fixed-wing;2T/S+;Medium;F;III;7
;;;;;;
;;;;;;
;;;;;;
E121;Fixed-wing;2T/S;Light;F;II;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
E135;Fixed-wing;2J/L;Medium;E;III;7
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
E145;Fixed-wing;2J/L;Medium;E;III;7
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
E170;Fixed-wing;2J/L;Medium;E;III;7
;;;;;;
E190;Fixed-wing;2J/L;Medium;D;III;7
;;;;;;
E195;Fixed-wing;2J/L;Medium;D;III;
;;;;;;
;;;;;;
;;;;;;
E2;Fixed-wing;2T/L;Medium;E;III;
;;;;;;
;;;;;;
;;;;;;
E200;Fixed-wing;1P/S;Light;F;I;
E230;Fixed-wing;1P/S;Light;F;I;
E29E;Fixed-wing;1E/S;Light;F;I;
E2CB;Fixed-wing;1P/S;Light;F;I;
;;;;;;
E300;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
E314;Fixed-wing;1T/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
E350;Fixed-wing;1T/S;Light;F;I;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
E35L;Fixed-wing;2J/L;Medium;E;III;7
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
E3CF;Fixed-wing;4J/H;Heavy;C;III;
;;;;;;
;;;;;;
;;;;;;
E3TF;Fixed-wing;4J/H;Heavy;C;III;
;;;;;;
;;;;;;
E400;Fixed-wing;1P/S;Light;F;I;
E45X;Fixed-wing;2J/L;Medium;E;III;7
E500;Fixed-wing;1T/S;Light;F;I;
E50P;Fixed-wing;2J/S;Light;F;III;7
;;;;;;
E530*;Fixed-wing;2J/S+;Medium;F;III;
;;;;;;
E545;Fixed-wing;2J/S+;Medium;F;III;
E550;Fixed-wing;2J/S+;Medium;F;III;
E55P;Fixed-wing;2J/S+;Medium;F;III;6
E6;Fixed-wing;4J/H;Heavy;C;III;
;;;;;;
E737;Fixed-wing;2J/L;Medium;D;III;
;;;;;;
E75L;Fixed-wing;2J/L;Medium;E;III;6
E75S;Fixed-wing;2J/L;Medium;E;III;6
E767;Fixed-wing;2J/H;Heavy;C;III;
E7BH;Fixed-wing;1P/S;Light;F;I;
EA40;Fixed-wing;1J/S;Light;F;III;
EA50;Fixed-wing;2J/S;Light;F;III;4
EAEA;Fixed-wing;1P/S;Light;F;I;
EAGL;Fixed-wing;1P/S;Light;F;I;
EAGT;Fixed-wing;1P/S;Light;F;I;
;;;;;;
EAGX;Fixed-wing;1P/S;Light;F;I;
;;;;;;
EB29;Fixed-wing;1P/S;Light;F;I;
;;;;;;
EBOY;Fixed-wing;1P/S;Light;F;I;
;;;;;;
;;;;;;AIRBUS HELICOPTERS, Colibri
;;;;;;AIRBUS HELICOPTERS, EC-120 Colibri
;;;;;;AIRBUS HELICOPTERS, H-120 Colibri
EC20;Helicopter;1T/S;Light;F;I;EUROCOPTER, Colibri  EUROCOPTER, EC-120 Colibri
;;;;;;EUROCOPTER, EC-120 Stylence
;;;;;;EUROCOPTER, Stylence (EC-120)
;;;;;;HARBIN, HC-120
;;;;;;AIRBUS HELICOPTERS, Cougar Mk2+
;;;;;;AIRBUS HELICOPTERS,  EC-225 Super Puma Mk2+
;;;;;;AIRBUS HELICOPTERS, EC-725 Cougar Mk2+
;;;;;;AIRBUS HELICOPTERS, H-225 Cougar Mk2+
;;;;;;AIRBUS HELICOPTERS, H-225 Super Puma Mk2+
EC25;Helicopter;2T/S+;Medium;F;I;AIRBUS HELICOPTERS, Super Puma Mk2+  EUROCOPTER, Caracal
;;;;;;EUROCOPTER, Cougar Mk2+
;;;;;;EUROCOPTER, EC-225 Super Puma Mk2+
;;;;;;EUROCOPTER, EC-725 Caracal
;;;;;;EUROCOPTER, EC-725 Cougar Mk2+
;;;;;;EUROCOPTER, Super Puma Mk2+
;;;;;;AIRBUS HELICOPTERS, EC-130
;;;;;;AIRBUS HELICOPTERS, H-130
EC30;Helicopter;1T/S;Light;F;I;EUROCOPTER, EC-130
;;;;;;EUROCOPTER, EC-130 Stylence
;;;;;;EUROCOPTER, Stylence (EC-130)
;;;;;;AIRBUS HELICOPTERS, Bluecopter
;;;;;;AIRBUS HELICOPTERS, EC-135
;;;;;;AIRBUS HELICOPTERS, EC-135 Bluecopter
EC35;Helicopter;2T/S;Light;F;I;AIRBUS HELICOPTERS, EC-635
;;;;;;AIRBUS HELICOPTERS, H-135
;;;;;;EUROCOPTER, EC-135
;;;;;;EUROCOPTER, EC-635
;;;;;;AIRBUS HELICOPTERS-KAWASAKI, BK-117C-2
;;;;;;AIRBUS HELICOPTERS-KAWASAKI, EC-145
;;;;;;AIRBUS HELICOPTERS-KAWASAKI, EC-645
;;;;;;AIRBUS HELICOPTERS-KAWASAKI, H-145
;;;;;;AIRBUS HELICOPTERS-KAWASAKI, Lakota
;;;;;;AIRBUS HELICOPTERS-KAWASAKI, UH-72 Lakota
;;;;;;EUROCOPTER, Lakota
;;;;;;EUROCOPTER, UH-145
EC45;Helicopter;2T/S;Light;F;I;EUROCOPTER, UH-72 Lakota
;;;;;;EUROCOPTER-KAWASAKI, BK-117C-2
;;;;;;EUROCOPTER-KAWASAKI, EC-145
;;;;;;EUROCOPTER-KAWASAKI, EC-145 Stylence
;;;;;;EUROCOPTER-KAWASAKI, H-72 Lakota
;;;;;;EUROCOPTER-KAWASAKI, Lakota
;;;;;;EUROCOPTER-KAWASAKI, Stylence (EC-145)
;;;;;;EUROCOPTER-KAWASAKI, UH-145
;;;;;;EUROCOPTER-KAWASAKI, UH-72 Lakota
;;;;;;AIRBUS HELICOPTERS, EC-155
EC55;Helicopter;2T/S;Light;F;I;AIRBUS HELICOPTERS, H-155
;;;;;;EUROCOPTER, EC-155
;;;;;;CROSES, Criquet
EC6;Fixed-wing;1P/S;Light;F;I;CROSES, EC-6 Criquet CROSES, EC-8 Tourisme
;;;;;;CROSES, Tourisme
;;;;;;AIRBUS HELICOPTERS-HARBIN, EC-175
;;;;;;AIRBUS HELICOPTERS-HARBIN, H-175
EC75;Helicopter;2T/S+;Light;F;I;AIRBUS HELICOPTERS-HARBIN, Z-15
;;;;;;EUROCOPTER-HARBIN, EC-175
;;;;;;EUROCOPTER-HARBIN, Z-15
;;;;;;TECNAM, Eaglet
;;;;;;TECNAM, Echo
ECHO;Fixed-wing;1P/S;Light;F;I;TECNAM, P-92 Eaglet TECNAM, P-92 Echo
;;;;;;TECNAM, P-92 SeaSky
;;;;;;TECNAM, SeaSky
EDGE;Fixed-wing;1P/S;Light;F;I;ZIVKO, Edge 540 ZIVKO, Edge 540A
EDGT;Fixed-wing;1P/S;Light;F;I;ZIVKO, Edge 540 T
EFAN;Fixed-wing;2E/S;Light;F;II;AIRBUS, E-Fan
;;;;;;AEROPRO, Eurofox
EFOX;Fixed-wing;1P/S;Light;F;I;AEROTREK, A-220
;;;;;;AEROTREK, A-240
EGL3;Helicopter;1T/S;Light;F;I;ROTORWAY, Eagle 300T
;;;;;;GROB, D-500 Egrett 2
EGRT;Fixed-wing;1T/S;Light;F;I;GROB, Egrett 2 GROB, G-520 Strato 1
;;;;;;GROB, Strato 1
;;;;;;AGUSTAWESTLAND, AW-101
;;;;;;AGUSTAWESTLAND, AW-101 Merlin Joint Supporter
;;;;;;AGUSTAWESTLAND, Caesar
;;;;;;AGUSTAWESTLAND, EH-101
;;;;;;AGUSTAWESTLAND, EH-101 Merlin
;;;;;;AGUSTAWESTLAND, EH-101 Merlin Joint Supporter
;;;;;;AGUSTAWESTLAND, HH-101 Caesar
;;;;;;AGUSTAWESTLAND, MCH-101
;;;;;;AGUSTAWESTLAND, Merlin
;;;;;;AGUSTAWESTLAND, Merlin Joint Supporter
;;;;;;AGUSTAWESTLAND, SH-101
;;;;;;AGUSTAWESTLAND, UH-101
;;;;;;EHI, CH-149 Cormorant
EH10;Helicopter;3T/S+;Medium;F;I;EHI, Cormorant EHI, EH-101
;;;;;;EHI, EH-101 Merlin
;;;;;;EHI, Merlin
;;;;;;EHI, SH-101
;;;;;;EHI, UH-101
;;;;;;FINMECCANICA, AW-101
;;;;;;FINMECCANICA, Caesar
;;;;;;FINMECCANICA, HH-101 Caesar
;;;;;;KAWASAKI, CH-101
;;;;;;KAWASAKI, KHI-01
;;;;;;KAWASAKI, MCH-101
;;;;;;LEONARDO, AW-101
;;;;;;LEONARDO, Caesar
;;;;;;LEONARDO, HH-101 Caesar
EL20;Fixed-wing;1P/S;Light;F;I;ELITAR, IE-202
ELA7;Gyrocopter;1P/S;Light;F;I;ELA AVIACION, ELA-07
ELF;Fixed-wing;1P/S;Light;F;I;PARNALL, Elf
ELIT;Fixed-wing;2J/S;Light;F;III;AIR, Epic Elite  EPIC AIRCRAFT, Epic Elite
ELPS;Fixed-wing;1P/S;Light;F;I;EXPLORER (1), Ellipse
ELST;Fixed-wing;1P/S;Light;F;I;PUTZER, Elster
ELTO;Helicopter;1P/S;Light;F;I;CONTINENTAL COPTERS, El Tomcat
